"","y","site","area","year","month","pocc","socc","ndays","season","aspect","habitat","elevation","slope","rugg","popden","roadden","distpop","distroad"
"1045",1,19,2,2008,7,2,7,105,0,1,3,-0.282525940965424,1.74249288965091,6,0.818062030219096,0.407885750527358,-0.815836483717838,0.279390825208203
"1046",0,20,2,2008,7,2,7,105,0,1,3,-0.619517062179817,2.67809157851664,6,1.08396114831855,0.795694534282884,-0.761233946795399,0.889681122773246
"1047",0,21,2,2008,7,2,7,105,0,1,1,-1.1861065297161,2.76972030888043,7,1.45376275289483,1.01361495789922,-0.694139658669694,0.950111781964559
"1048",0,22,2,2008,7,2,7,104,0,1,3,0.343314712718447,0.952219113077158,6,1.56910449826624,1.16088512554212,-0.709532005627931,1.49997142033829
"1049",1,23,2,2008,7,2,7,98,0,1,1,-1.02686896694447,2.73159048006784,7,1.93718864276965,1.11953747051264,-0.616798077357855,0.889681122773246
"1050",0,24,2,2008,7,2,7,104,0,0,3,0.384049903194912,0.192296301548397,5,0.307344258949897,0.671709812496291,-1.04276243802933,0.279390825208203
"1051",0,25,2,2008,7,2,7,91,0,0,2,0.0433555828462958,0.839175975163795,6,0.250031457663504,0.759292470682535,-1.14840369399121,0.279390825208203
"1052",0,26,2,2008,7,2,7,86,0,1,3,-0.101069183388444,1.4262612536902,4,0.621004329819971,0.0579713029289195,-0.855619831649637,-0.33089947235684
"1053",0,27,2,2008,7,2,7,97,0,1,3,0.650680240859047,-1.02439577798238,5,0.418801945065171,0.357903384644682,-0.976993978125741,-0.33089947235684
"1054",0,28,2,2008,7,2,7,97,0,0,2,-0.74912903187766,-0.693029987980573,7,0.156685984908151,0.635451943477992,-1.21289776450575,-0.33089947235684
"1055",0,29,2,2008,7,2,7,97,0,0,2,0.0433555828462958,-0.0739408818620546,6,0.184036012822289,0.522001908213707,-1.09651133673627,-0.33089947235684
"1184",0,158,10,2008,7,2,7,34,0,1,4,-1.01575936954179,-1.12030754785646,4,1.04620652752336,-0.711771890404088,0.322447662710167,-0.43560865939234
"1185",0,159,10,2008,7,2,7,33,0,1,3,-0.652845854387833,-1.11168174977693,6,0.750244376059845,-0.718329068338223,0.478892682370952,0.354520898363524
"1187",0,161,10,2008,7,2,7,34,0,1,3,-0.652845854387833,-1.11168174977693,6,0.780767023458836,-0.718329068338223,0.478892682370952,0.354520898363524
"1188",0,162,10,2008,7,2,7,34,0,0,2,-0.975024179065329,-0.81603034944657,6,0.59254182216733,-0.703569763296925,0.402101588978119,0.889681122773246
"1190",0,164,10,2008,7,2,7,33,0,0,2,-1.07501055568938,-1.58621878839417,4,0.769713626579633,-0.674024576173761,0.358856746398942,0.567530687798904
"1192",0,166,10,2008,7,2,7,33,0,0,3,-2.07117112279566,1.16675712549894,4,0.930420559842833,-0.675070693729632,-0.0400520817456108,-0.797119838626532
"1193",0,167,10,2008,7,2,7,34,0,1,4,-0.941695386857313,-0.760662713026594,6,1.07823286102548,-0.793713430353788,0.444488912328048,-0.231863034954933
"1194",0,168,10,2008,7,2,7,34,0,0,4,-0.319557932307665,-0.435937462096009,6,0.997532759901962,-0.639798719824126,0.169868132747437,0.354520898363524
"1195",0,169,10,2008,7,2,7,34,0,1,4,-0.989836975602226,-0.36838755988536,6,1.26459801500632,-0.750810735714241,0.293242233374228,-0.43560865939234
"1196",0,170,10,2008,7,2,7,33,0,0,3,-0.319557932307665,-0.883222633309545,6,0.997532759901962,-0.639798719824126,0.169868132747437,0.0386625921162758
"1197",0,171,10,2008,7,2,7,33,0,0,3,-1.66011601889679,1.43296608309309,4,1.16014506055742,-0.660830771918128,-0.0756218808094367,-0.941189769921883
"1207",1,10,2,2008,8,2,8,96,0,1,3,0.635867444322151,-1.33268225596334,4,0.946382634615125,1.28834013026951,-0.869287345209903,2.11026171790333
"1208",1,11,2,2008,8,2,8,77,0,1,3,0.558100262503445,-0.937783851910761,4,0.626265307215188,1.08559180402736,-0.971769702390362,1.49997142033829
"1209",1,12,2,2008,8,2,8,106,0,1,3,0.161857955141467,-0.863237532522938,6,1.05416918034811,1.51156239075292,-0.694139658669694,1.49997142033829
"1210",1,13,2,2008,8,2,8,106,0,1,3,0.739557020080425,-0.674958374736684,4,0.732626835665902,1.08806799255557,-0.887852636523147,1.49997142033829
"1211",1,14,2,2008,8,2,8,87,0,1,3,0.980264963804991,0.210431500262588,6,0.822136134534333,0.890821679188467,-0.869287345209903,0.889681122773246
"1212",1,15,2,2008,8,2,8,106,0,0,3,1.05432894648947,-0.79086339582107,6,0.403586368995191,0.731552260445009,-1.06611899482921,0.889681122773246
"1213",0,16,2,2008,8,2,8,70,0,0,3,0.887684985449389,-1.35908795137584,6,0.492144801246239,0.830613938298619,-0.971769702390362,0.889681122773246
"1214",1,17,2,2008,8,2,8,105,0,1,3,0.5358810676981,0.807901422854801,6,1.14105076958054,1.02134265655805,-0.794460968827016,1.49997142033829
"1215",1,18,2,2008,8,2,8,105,0,1,3,0.635867444322151,-0.710940361190974,6,0.590630469103912,0.575786487310367,-0.931188097693289,0.279390825208203
"1216",1,19,2,2008,8,2,8,105,0,1,3,-0.282525940965424,1.74249288965091,6,0.818062030219096,0.407885750527358,-0.815836483717838,0.279390825208203
"1217",0,20,2,2008,8,2,8,105,0,1,3,-0.619517062179817,2.67809157851664,6,1.08396114831855,0.795694534282884,-0.761233946795399,0.889681122773246
"1218",0,21,2,2008,8,2,8,105,0,1,1,-1.1861065297161,2.76972030888043,7,1.45376275289483,1.01361495789922,-0.694139658669694,0.950111781964559
"1219",1,22,2,2008,8,2,8,104,0,1,3,0.343314712718447,0.952219113077158,6,1.56910449826624,1.16088512554212,-0.709532005627931,1.49997142033829
"1220",1,23,2,2008,8,2,8,98,0,1,1,-1.02686896694447,2.73159048006784,7,1.93718864276965,1.11953747051264,-0.616798077357855,0.889681122773246
"1221",0,24,2,2008,8,2,8,104,0,0,3,0.384049903194912,0.192296301548397,5,0.307344258949897,0.671709812496291,-1.04276243802933,0.279390825208203
"1222",0,25,2,2008,8,2,8,91,0,0,2,0.0433555828462958,0.839175975163795,6,0.250031457663504,0.759292470682535,-1.14840369399121,0.279390825208203
"1223",0,26,2,2008,8,2,8,86,0,1,3,-0.101069183388444,1.4262612536902,4,0.621004329819971,0.0579713029289195,-0.855619831649637,-0.33089947235684
"1224",0,27,2,2008,8,2,8,97,0,1,3,0.650680240859047,-1.02439577798238,5,0.418801945065171,0.357903384644682,-0.976993978125741,-0.33089947235684
"1225",0,28,2,2008,8,2,8,97,0,0,2,-0.74912903187766,-0.693029987980573,7,0.156685984908151,0.635451943477992,-1.21289776450575,-0.33089947235684
"1226",1,29,2,2008,8,2,8,97,0,0,2,0.0433555828462958,-0.0739408818620546,6,0.184036012822289,0.522001908213707,-1.09651133673627,-0.33089947235684
"1378",1,10,2,2008,9,2,9,96,0,1,3,0.635867444322151,-1.33268225596334,4,0.946382634615125,1.28834013026951,-0.869287345209903,2.11026171790333
"1379",1,11,2,2008,9,2,9,77,0,1,3,0.558100262503445,-0.937783851910761,4,0.626265307215188,1.08559180402736,-0.971769702390362,1.49997142033829
"1380",1,12,2,2008,9,2,9,106,0,1,3,0.161857955141467,-0.863237532522938,6,1.05416918034811,1.51156239075292,-0.694139658669694,1.49997142033829
"1381",1,13,2,2008,9,2,9,106,0,1,3,0.739557020080425,-0.674958374736684,4,0.732626835665902,1.08806799255557,-0.887852636523147,1.49997142033829
"1382",1,14,2,2008,9,2,9,87,0,1,3,0.980264963804991,0.210431500262588,6,0.822136134534333,0.890821679188467,-0.869287345209903,0.889681122773246
"1383",1,15,2,2008,9,2,9,106,0,0,3,1.05432894648947,-0.79086339582107,6,0.403586368995191,0.731552260445009,-1.06611899482921,0.889681122773246
"1384",1,16,2,2008,9,2,9,70,0,0,3,0.887684985449389,-1.35908795137584,6,0.492144801246239,0.830613938298619,-0.971769702390362,0.889681122773246
"1385",1,17,2,2008,9,2,9,105,0,1,3,0.5358810676981,0.807901422854801,6,1.14105076958054,1.02134265655805,-0.794460968827016,1.49997142033829
"1386",0,18,2,2008,9,2,9,105,0,1,3,0.635867444322151,-0.710940361190974,6,0.590630469103912,0.575786487310367,-0.931188097693289,0.279390825208203
"1387",1,19,2,2008,9,2,9,105,0,1,3,-0.282525940965424,1.74249288965091,6,0.818062030219096,0.407885750527358,-0.815836483717838,0.279390825208203
"1388",0,20,2,2008,9,2,9,105,0,1,3,-0.619517062179817,2.67809157851664,6,1.08396114831855,0.795694534282884,-0.761233946795399,0.889681122773246
"1389",0,21,2,2008,9,2,9,105,0,1,1,-1.1861065297161,2.76972030888043,7,1.45376275289483,1.01361495789922,-0.694139658669694,0.950111781964559
"1390",1,22,2,2008,9,2,9,104,0,1,3,0.343314712718447,0.952219113077158,6,1.56910449826624,1.16088512554212,-0.709532005627931,1.49997142033829
"1391",0,23,2,2008,9,2,9,98,0,1,1,-1.02686896694447,2.73159048006784,7,1.93718864276965,1.11953747051264,-0.616798077357855,0.889681122773246
"1392",0,24,2,2008,9,2,9,104,0,0,3,0.384049903194912,0.192296301548397,5,0.307344258949897,0.671709812496291,-1.04276243802933,0.279390825208203
"1393",0,25,2,2008,9,2,9,91,0,0,2,0.0433555828462958,0.839175975163795,6,0.250031457663504,0.759292470682535,-1.14840369399121,0.279390825208203
"1394",0,26,2,2008,9,2,9,86,0,1,3,-0.101069183388444,1.4262612536902,4,0.621004329819971,0.0579713029289195,-0.855619831649637,-0.33089947235684
"1395",1,27,2,2008,9,2,9,97,0,1,3,0.650680240859047,-1.02439577798238,5,0.418801945065171,0.357903384644682,-0.976993978125741,-0.33089947235684
"1396",1,28,2,2008,9,2,9,97,0,0,2,-0.74912903187766,-0.693029987980573,7,0.156685984908151,0.635451943477992,-1.21289776450575,-0.33089947235684
"1397",0,29,2,2008,9,2,9,97,0,0,2,0.0433555828462958,-0.0739408818620546,6,0.184036012822289,0.522001908213707,-1.09651133673627,-0.33089947235684
"1398",0,30,2,2008,9,2,9,34,0,0,3,0.613648249516806,0.093360784351631,6,0.946382634615125,1.17924533685147,-0.931188097693289,1.93218151221765
"1399",0,31,2,2008,9,2,9,34,0,0,3,0.591429054711461,0.524967297267163,5,0.578331838850986,0.886399712006254,-1.04276243802933,1.39680285871217
"1400",0,32,2,2008,9,2,9,34,0,0,3,1.0432193490868,0.445258266434228,7,0.403586368995191,0.780984425040203,-1.14840369399121,0.889681122773246
"1401",1,33,2,2008,9,2,9,34,0,0,2,-0.293635538368097,1.55713508365873,7,0.250031457663504,0.79237692795834,-1.24427243411608,0.279390825208203
"1402",0,34,2,2008,9,2,9,34,0,0,3,1.0432193490868,0.445258266434228,7,0.362594996524222,0.780984425040203,-1.14840369399121,0.354520898363524
"1403",0,35,2,2008,9,2,9,34,0,0,3,0.461817085013618,-0.339167992940866,6,0.89868752422718,1.38663220488338,-0.815836483717838,1.29055304626729
"1404",0,36,2,2008,9,2,9,34,0,0,3,0.591429054711461,0.524967297267163,5,0.578331838850986,0.886399712006254,-1.04276243802933,0.567530687798904
"1405",0,37,2,2008,9,2,9,34,0,0,1,-0.508421088153094,2.21409765145643,7,0.89868752422718,0.583381300766131,-0.93118852891704,1.29055304626729
"1406",0,38,2,2008,9,2,9,33,0,1,3,-0.326964330576113,1.0503417653021,6,2.11082227420885,1.43732479976619,-0.616798077357855,1.49997142033829
"1407",0,39,2,2008,9,2,9,33,0,1,3,0.161857955141467,-0.878330053784687,6,1.52157613157469,1.51156239075292,-0.694139658669694,1.49997142033829
"1408",0,40,2,2008,9,2,9,33,0,1,1,0.450707487610946,-0.809460993610742,5,1.37887131807698,1.56239918021774,-0.761233946795399,2.11026171790333
"1409",0,41,2,2008,9,2,9,33,0,0,1,-0.071443590314651,0.839565346664233,5,1.82036971926736,1.61010496811123,-0.697966091816647,1.93218151221765
"1410",0,42,2,2008,9,2,9,33,0,0,1,0.461817085013618,-0.598504500770974,6,1.37887131807698,1.38663220488338,-0.815836483717838,2.23909554928452
"1411",0,43,2,2008,9,2,9,32,0,1,3,-0.0973659842542196,-0.381180281550165,7,2.13475427012088,1.82802482625862,-0.588705328504581,1.39680285871217
"1412",0,44,2,2008,9,2,9,32,0,0,1,-0.923179391186192,-0.433642346535444,5,2.64100480674448,2.16177817129088,-0.534488675235304,1.6980442951421
"1413",0,45,2,2008,9,2,9,32,0,0,3,-1.27498330893748,0.320849392099826,4,2.44043651021434,1.93604692508018,-0.58261497066834,0.567530687798904
"1414",0,46,2,2008,9,2,9,32,0,0,1,-0.282525940965424,0.463798422353086,7,1.82036971926736,0.552760026232766,-0.833301969657535,0.889681122773246
"1415",0,47,2,2008,9,2,9,32,0,0,1,-1.27498330893748,0.320849392099826,4,2.64100480674448,1.93604692508018,-0.58261497066834,1.6980442951421
"1549",0,10,2,2008,10,2,10,96,0,1,3,0.635867444322151,-1.33268225596334,4,0.946382634615125,1.28834013026951,-0.869287345209903,2.11026171790333
"1550",0,11,2,2008,10,2,10,77,0,1,3,0.558100262503445,-0.937783851910761,4,0.626265307215188,1.08559180402736,-0.971769702390362,1.49997142033829
